fecha;ventas;tv_ad98;p1ola1_ad40;p2ola1_ad40;p3_ola1_ad40;p4_ola1_ad40;p5_ola1_ad40;p1_ola2_ad40;p1_ola3_ad40;dp;ip;iip_p1;iip_p2;iip_p3;revistas_ad20;competencia1;competencia2;competencia3;competencia4
2018-01-15;5,62;2567,434296;5,720000000e-27;3,060000000e-21;0,000000000e+00;0,000000000e+00;1,510000000e-06;1,212370000e-04;8,0384000e+00;43;1,333544614;0,000000000;0,005338078;0,087188612;2,023810000e-04;0,000000000e+00;0,00000000000;0,009925558;0,000000000
2018-01-22;4,82;2516,085610;2,290000000e-27;1,220000000e-21;0,000000000e+00;0,000000000e+00;6,050000000e-07;4,850000000e-05;3,2153600e+00;40;1,322557991;0,000000000;0,008298755;0,078838174;4,050000000e-05;0,000000000e+00;0,00000000000;0,002890173;0,000000000
2018-01-29;5,16;2465,763897;9,150000000e-28;4,890000000e-22;0,000000000e+00;0,000000000e+00;2,420000000e-07;1,940000000e-05;1,2861440e+00;40;1,263665192;0,000000000;0,007751938;0,075581395;8,100000000e-06;0,000000000e+00;0,00000000000;0,004665630;0,023923445
2018-02-05;5,31;2416,448620;3,660000000e-28;1,960000000e-22;0,000000000e+00;0,000000000e+00;9,680000000e-08;7,760000000e-06;5,1445760e-01;41;1,277699763;0,000000000;0,003766478;0,041431262;1,620000000e-06;0,000000000e+00;0,00000000000;0,016097875;0,031982942
2018-02-12;5,01;2368,119647;1,460000000e-28;7,820000000e-23;0,000000000e+00;0,000000000e+00;3,870000000e-08;3,100000000e-06;2,0578304e-01;40;1,257881892;0,000000000;0,001996008;0,047904192;3,240000000e-07;0,000000000e+00;0,00000000000;0,072148953;0,000000000
2018-02-19;5,08;2320,757254;5,860000000e-29;3,130000000e-23;0,000000000e+00;0,000000000e+00;1,550000000e-08;1,240000000e-06;8,2313216e-02;41;1,245148835;0,000000000;0,009842520;0,064960630;6,480000000e-08;0,000000000e+00;0,00000000000;0,041050903;0,000000000
2018-02-26;4,70;2274,342109;2,340000000e-29;1,250000000e-23;0,000000000e+00;0,000000000e+00;6,190000000e-09;4,970000000e-07;3,2925286e-02;37;1,264153679;0,057446809;0,004255319;0,042553191;1,300000000e-08;0,000000000e+00;0,00000000000;0,012454212;0,049180328
2018-03-04;6,13;2228,855267;9,370000000e-30;5,010000000e-24;0,000000000e+00;0,000000000e+00;2,480000000e-09;1,990000000e-07;1,3170115e-02;39;1,284973263;0,119086460;0,001631321;0,068515498;2,590000000e-09;0,000000000e+00;0,00000000000;0,016069221;0,020790021
2018-03-11;5,21;2184,278162;3,750000000e-30;2,000000000e-24;0,000000000e+00;0,000000000e+00;9,910000000e-10;7,950000000e-08;5,2680460e-03;37;1,307053806;0,065259117;0,009596929;0,071017274;5,180000000e-10;0,000000000e+00;0,00000000000;0,011103400;0,016627078
2018-03-18;6,13;2444,192598;1,500000000e-30;8,010000000e-25;0,000000000e+00;3,036000000e+02;3,960000000e-10;3,180000000e-08;2,1072180e-03;40;1,361256182;0,000000000;0,032626427;0,086460033;1,040000000e-10;0,000000000e+00;0,00000000000;0,020938023;0,026066351
2018-03-25;6,84;2570,558746;6,000000000e-31;3,200000000e-25;0,000000000e+00;2,966900000e+02;1,590000000e-10;1,270000000e-08;8,4288700e-04;41;1,381174856;0,000000000;0,100877193;0,100877193;2,070000000e-11;0,000000000e+00;0,00000000000;0,019809826;0,005376344
2018-04-01;7,21;2679,747571;2,400000000e-31;1,280000000e-25;0,000000000e+00;2,792760000e+02;6,340000000e-11;5,090000000e-09;3,3715500e-04;42;1,335884116;0,000000000;0,041608877;0,087378641;4,140000000e-12;0,000000000e+00;0,00000000000;0,011942175;0,002487562
2018-04-08;5,84;2626,152620;9,600000000e-32;5,130000000e-26;0,000000000e+00;1,117104000e+02;2,540000000e-11;2,030000000e-09;1,3486200e-04;39;1,369725661;0,003424658;0,023972603;0,111301370;8,290000000e-13;0,000000000e+00;0,00000000000;0,017033357;0,000000000
2018-04-15;6,97;2757,429568;3,840000000e-32;2,050000000e-26;0,000000000e+00;2,284841600e+02;1,010000000e-11;8,140000000e-10;5,3900000e-05;40;1,341193103;0,001434720;0,022955524;0,183644189;1,660000000e-13;0,000000000e+00;0,00000000000;0,021578298;0,002717391
2018-04-22;7,18;2861,780976;1,540000000e-32;8,200000000e-27;0,000000000e+00;2,508936640e+02;4,060000000e-12;3,250000000e-10;2,1600000e-05;43;1,364766108;0,000000000;0,025069638;0,146239554;3,320000000e-14;0,000000000e+00;0,00000000000;0,027368421;0,002873563
2018-04-29;6,82;2804,845357;6,140000000e-33;3,280000000e-27;0,000000000e+00;1,003574656e+02;1,620000000e-12;1,300000000e-10;8,6300000e-06;43;1,352280016;0,004398827;0,021994135;0,123167155;6,630000000e-15;0,000000000e+00;0,00000000000;0,017409114;0,011111111
2018-05-06;7,08;2748,748450;2,460000000e-33;1,310000000e-27;0,000000000e+00;4,014298624e+01;6,500000000e-13;5,210000000e-11;3,4500000e-06;47;1,303576522;0,026836158;0,038135593;0,118644068;1,330000000e-15;0,000000000e+00;0,00000000000;0,023591088;0,022624434
2018-05-13;5,39;2693,773481;9,830000000e-34;5,250000000e-28;0,000000000e+00;1,605719450e+01;2,600000000e-13;2,080000000e-11;1,3800000e-06;40;1,328426551;0,077922078;0,009276438;0,077922078;2,650000000e-16;0,000000000e+00;0,00000000000;0,006017505;0,130434783
2018-05-20;5,00;2639,898011;3,930000000e-34;2,100000000e-28;0,000000000e+00;6,422877798e+00;1,040000000e-13;8,330000000e-12;5,5200000e-07;40;1,335587882;0,168000000;0,004000000;0,072000000;5,310000000e-17;0,000000000e+00;0,00000000000;0,017543860;0,107329843
2018-05-27;4,54;2587,100051;1,570000000e-34;8,400000000e-29;0,000000000e+00;2,569151119e+00;4,160000000e-14;3,330000000e-12;2,2100000e-07;37;1,313449950;0,057268722;0,008810573;0,074889868;1,060000000e-17;0,000000000e+00;0,00000000000;0,006087438;0,104790419
